season,holiday,weekday,workingday,weather,temp,hum,windspeed,total_rental_bikes 
2,0,1,1,1,0.607,0.777,0.185,4073
1,0,2,1,1,0.390,0.417,0.262,4509
3,0,5,1,1,0.724,0.573,0.222,4991
1,0,2,1,2,0.319,0.509,0.141,3922
4,0,2,1,1,0.472,0.623,0.167,4687
3,0,5,1,2,0.685,0.723,0.139,4153
2,0,2,1,2,0.414,0.642,0.388,1795
3,0,2,1,2,0.623,0.873,0.358,4073
1,0,4,1,1,0.486,0.615,0.227,4990
1,0,3,1,1,0.335,0.450,0.308,2134
2,0,1,1,2,0.632,0.810,0.234,4274
2,0,2,1,2,0.541,0.613,0.210,7001
3,0,2,1,2,0.681,0.770,0.171,4835
2,0,5,1,2,0.370,0.581,0.138,5459
1,1,1,0,2,0.176,0.538,0.194,1000
4,0,3,1,1,0.400,0.758,0.062,4109
2,0,2,1,2,0.653,0.833,0.215,4972
4,0,0,0,1,0.326,0.533,0.179,5107
1,0,2,1,1,0.266,0.314,0.291,1815
3,0,4,1,1,0.749,0.423,0.172,6879
1,0,5,1,1,0.373,0.686,0.274,2209
4,0,2,1,3,0.417,0.963,0.119,1607
1,0,1,1,2,0.407,0.876,0.290,1446
1,0,4,1,1,0.415,0.603,0.210,2744
2,0,2,1,2,0.613,0.660,0.156,5740
4,0,2,1,2,0.353,0.597,0.296,5501
4,0,0,0,1,0.319,0.624,0.177,3331
2,0,6,0,1,0.635,0.456,0.123,5342
2,0,1,1,2,0.464,0.570,0.172,5572
4,0,1,1,1,0.514,0.493,0.142,7436
1,0,3,1,1,0.227,0.437,0.187,1600
4,0,1,1,2,0.384,0.761,0.083,3570
4,0,0,0,2,0.416,0.708,0.141,3510
2,1,5,0,1,0.447,0.671,0.226,3126
3,0,2,1,1,0.639,0.548,0.125,5204
2,0,5,1,1,0.533,0.360,0.237,7030
2,0,0,0,1,0.693,0.748,0.164,4460
3,0,6,0,1,0.756,0.613,0.157,6685
2,0,4,1,2,0.531,0.830,0.108,4575
2,0,3,1,2,0.414,0.737,0.329,2633
2,0,0,0,2,0.452,0.762,0.106,3351
4,0,1,1,1,0.313,0.535,0.047,5087
4,0,5,1,1,0.375,0.644,0.099,2792
2,0,3,1,1,0.661,0.696,0.154,4978
4,0,4,1,2,0.470,0.813,0.198,2659
3,0,4,1,2,0.684,0.772,0.211,3542
3,0,4,1,1,0.716,0.530,0.147,7446
1,0,5,1,1,0.313,0.527,0.178,4151
4,0,3,1,1,0.588,0.636,0.073,7693
2,0,6,0,1,0.632,0.504,0.167,7702
2,0,4,1,1,0.593,0.520,0.229,7384
3,1,1,0,2,0.673,0.790,0.213,3351
2,0,0,0,1,0.607,0.508,0.225,7132
1,0,2,1,2,0.223,0.617,0.130,1985
2,0,2,1,2,0.617,0.697,0.343,4451
4,0,4,1,1,0.352,0.333,0.348,5315
2,0,3,1,2,0.575,0.744,0.216,4717
3,0,2,1,1,0.794,0.559,0.200,4258
3,0,0,0,1,0.508,0.695,0.178,4274
4,0,3,1,1,0.325,0.613,0.271,3613
1,0,3,1,1,0.348,0.531,0.182,4169
4,0,0,0,1,0.459,0.698,0.209,3071
2,0,4,1,1,0.535,0.748,0.190,4864
3,0,6,0,2,0.686,0.730,0.211,4150
3,0,3,1,2,0.732,0.658,0.136,3574
2,0,5,1,1,0.620,0.354,0.253,5312
3,0,5,1,2,0.732,0.486,0.081,7499
1,0,0,0,1,0.097,0.437,0.247,986
4,0,0,0,2,0.357,0.792,0.222,2918
1,0,5,1,2,0.327,0.557,0.374,3623
1,0,4,1,1,0.454,0.555,0.191,5062
3,0,4,1,2,0.578,0.709,0.271,3659
1,0,0,0,2,0.473,0.810,0.127,5892
3,0,1,1,1,0.772,0.551,0.157,4266
4,0,1,1,1,0.530,0.587,0.307,4486
2,0,1,1,2,0.596,0.717,0.324,3348
1,0,6,0,2,0.253,0.753,0.124,1341
2,0,5,1,1,0.680,0.747,0.141,6734
4,0,3,1,2,0.296,0.548,0.304,5035
1,0,5,1,2,0.353,0.657,0.145,3194
2,0,1,1,1,0.533,0.589,0.176,4362
3,0,1,1,1,0.731,0.669,0.154,7105
1,0,0,0,1,0.167,0.419,0.251,2311
3,0,4,1,3,0.634,0.940,0.193,1842
2,0,3,1,1,0.391,0.471,0.263,2808
2,0,4,1,1,0.715,0.305,0.292,4968
3,0,4,1,1,0.719,0.519,0.142,7605
4,0,3,1,1,0.289,0.552,0.200,5495
4,0,4,1,1,0.256,0.509,0.175,5375
4,0,6,0,3,0.254,0.883,0.351,627
2,0,6,0,2,0.460,0.888,0.231,4036
3,0,5,1,1,0.663,0.591,0.183,5538
4,1,1,0,1,0.485,0.742,0.174,6269
1,0,5,1,2,0.281,0.540,0.117,3831
4,0,2,1,2,0.447,0.762,0.190,6392
1,0,6,0,2,0.384,0.789,0.252,2077
2,0,5,1,1,0.458,0.401,0.348,6233
4,0,1,1,2,0.381,0.623,0.235,5499
3,0,2,1,1,0.783,0.491,0.206,4845
3,0,0,0,1,0.709,0.742,0.206,4940
3,0,4,1,1,0.655,0.639,0.142,5115
2,0,5,1,2,0.513,0.863,0.180,4105
1,0,4,1,3,0.389,0.000,0.262,623
3,0,1,1,1,0.583,0.504,0.259,7525
1,0,2,1,1,0.182,0.578,0.196,1450
3,0,0,0,1,0.743,0.479,0.146,6891
3,1,1,0,2,0.727,0.638,0.081,6043
3,0,2,1,1,0.728,0.620,0.191,7040
3,0,6,0,1,0.687,0.585,0.208,5923
4,0,6,0,1,0.357,0.553,0.212,4067
3,0,0,0,1,0.610,0.548,0.224,8227
3,0,2,1,1,0.751,0.655,0.211,7592
3,0,5,1,1,0.778,0.574,0.183,5823
3,0,4,1,1,0.718,0.424,0.165,4792
2,0,6,0,1,0.564,0.480,0.123,7429
1,0,0,0,1,0.326,0.403,0.335,3423
2,0,0,0,2,0.427,0.858,0.147,2895
1,1,1,0,1,0.273,0.381,0.330,1951
2,0,4,1,2,0.618,0.701,0.321,4058
2,0,6,0,1,0.711,0.437,0.144,7498
1,0,6,0,2,0.264,0.780,0.122,2832
1,0,1,1,1,0.269,0.401,0.216,3624
1,0,6,0,1,0.283,0.538,0.187,1969
1,0,4,1,1,0.204,0.518,0.090,1606
1,0,4,1,1,0.436,0.505,0.230,2475
1,0,5,1,1,0.522,0.517,0.265,2927
1,0,3,1,3,0.243,0.823,0.317,441
2,0,0,0,1,0.621,0.530,0.254,7129
1,0,6,0,1,0.059,0.400,0.172,981
3,0,4,1,1,0.770,0.600,0.165,6591
2,0,0,0,1,0.668,0.819,0.214,4788
3,0,3,1,3,0.599,0.917,0.097,1996
2,0,3,1,1,0.776,0.622,0.137,4401
1,0,1,1,1,0.325,0.497,0.137,2046
2,0,3,1,1,0.543,0.633,0.121,4182
1,0,2,1,1,0.267,0.535,0.216,1851
3,0,4,1,1,0.828,0.458,0.194,6241
3,0,6,0,1,0.678,0.603,0.178,7865
3,0,0,0,1,0.719,0.604,0.245,5302
4,0,2,1,1,0.484,0.710,0.206,4456
1,0,0,0,1,0.338,0.465,0.192,3425
1,0,2,1,1,0.561,0.808,0.121,6093
1,0,6,0,2,0.344,0.806,0.160,985
2,0,4,1,1,0.648,0.570,0.254,7363
2,0,3,1,1,0.554,0.611,0.077,7055
4,1,5,0,1,0.324,0.446,0.315,3368
3,0,6,0,2,0.492,0.718,0.190,4511
1,0,1,1,2,0.224,0.702,0.099,2376
3,0,3,1,1,0.724,0.450,0.165,8173
2,1,1,0,1,0.713,0.676,0.197,6043
4,0,0,0,1,0.441,0.458,0.282,3717
4,0,4,1,1,0.435,0.463,0.182,7570
4,0,1,1,2,0.562,0.708,0.296,5875
2,0,3,1,1,0.349,0.470,0.295,4862
3,0,2,1,1,0.701,0.578,0.236,4725
2,0,5,1,1,0.403,0.377,0.300,6460
1,0,0,0,1,0.343,0.680,0.125,2402
4,0,6,0,1,0.376,0.682,0.068,3068
2,0,1,1,1,0.264,0.302,0.212,2028
3,0,0,0,2,0.677,0.818,0.223,3820
3,0,3,1,1,0.599,0.577,0.132,7870
2,0,3,1,2,0.622,0.775,0.102,5260
1,0,3,1,1,0.303,0.443,0.415,3376
4,0,3,1,3,0.457,0.930,0.137,1817
1,0,1,1,1,0.151,0.483,0.223,1321
2,0,0,0,1,0.500,0.276,0.233,5169
2,0,0,0,2,0.563,0.740,0.150,6359
1,0,6,0,2,0.173,0.831,0.223,1301
1,0,0,0,2,0.163,0.796,0.200,1977
4,0,4,1,2,0.589,0.897,0.142,2913
2,0,5,1,2,0.336,0.836,0.227,1471
4,0,1,1,1,0.534,0.580,0.175,4570
3,0,5,1,2,0.766,0.643,0.216,7175
1,0,0,0,1,0.232,0.484,0.188,1204
4,0,0,0,2,0.463,0.685,0.186,3520
3,0,1,1,2,0.753,0.654,0.129,7013
3,0,3,1,1,0.657,0.598,0.083,5058
2,0,4,1,2,0.498,0.757,0.177,5026
2,0,6,0,2,0.343,0.878,0.133,2455
2,0,3,1,1,0.484,0.481,0.292,5698
1,0,0,0,1,0.128,0.465,0.409,1529
2,0,1,1,1,0.573,0.426,0.386,3115
1,0,0,0,1,0.317,0.457,0.261,1589
3,0,5,1,1,0.599,0.669,0.154,8167
3,0,2,1,1,0.726,0.755,0.236,6864
2,0,6,0,1,0.570,0.683,0.284,6624
4,0,3,1,1,0.353,0.614,0.103,5146
3,0,2,1,1,0.651,0.713,0.142,4763
3,0,1,1,2,0.636,0.734,0.130,6530
2,0,6,0,2,0.622,0.757,0.153,6883
4,0,5,1,2,0.619,0.690,0.164,7415
1,0,4,1,1,0.528,0.568,0.442,5382
3,0,6,0,1,0.849,0.500,0.131,3285
2,0,4,1,2,0.808,0.568,0.150,3915
3,0,6,0,2,0.753,0.638,0.113,6140
3,0,5,1,1,0.700,0.761,0.084,4661
4,0,5,1,2,0.609,0.973,0.078,2395
2,0,5,1,1,0.510,0.457,0.240,4595
2,0,2,1,2,0.582,0.686,0.296,5728
2,0,0,0,2,0.648,0.653,0.139,4906
3,0,2,1,2,0.721,0.668,0.152,6290
1,0,0,0,1,0.286,0.568,0.142,1623
1,0,5,1,2,0.211,0.585,0.128,1708
1,0,3,1,2,0.428,0.858,0.221,2660
2,0,2,1,2,0.612,0.795,0.147,5115
1,0,6,0,1,0.197,0.652,0.145,1098
1,0,4,1,1,0.265,0.562,0.194,3830
2,0,4,1,1,0.435,0.374,0.220,6457
3,0,6,0,1,0.698,0.674,0.104,5191
2,0,1,1,1,0.678,0.600,0.122,4548
3,0,5,1,1,0.711,0.631,0.185,4866
3,0,2,1,1,0.775,0.570,0.151,4602
3,0,1,1,2,0.581,0.735,0.152,6869
4,0,5,1,2,0.331,0.586,0.229,3747
3,0,6,0,2,0.659,0.799,0.281,5976
1,0,3,1,2,0.135,0.495,0.189,1605
1,0,1,1,1,0.545,0.729,0.162,6153
1,0,2,1,1,0.258,0.457,0.201,3956
3,0,3,1,1,0.728,0.498,0.262,5225
1,0,6,0,2,0.233,0.499,0.158,1248
4,0,2,1,2,0.637,0.885,0.118,4120
3,0,1,1,1,0.765,0.592,0.192,4326
4,0,0,0,1,0.221,0.490,0.067,2743
2,0,3,1,2,0.347,0.840,0.234,2121
4,0,4,1,2,0.380,0.813,0.189,2933
1,0,5,1,1,0.274,0.508,0.378,3214
1,0,1,1,1,0.283,0.622,0.154,3784
2,0,4,1,1,0.498,0.613,0.066,6565
1,0,5,1,2,0.218,0.450,0.203,3163
1,0,4,1,2,0.423,0.758,0.047,3068
3,0,2,1,1,0.641,0.455,0.147,5895
2,0,5,1,1,0.639,0.590,0.177,7665
1,0,4,1,2,0.399,0.673,0.187,3761
2,0,4,1,2,0.560,0.768,0.134,6421
3,0,1,1,1,0.692,0.470,0.277,4758
1,0,3,1,2,0.260,0.775,0.264,1526
4,0,6,0,1,0.329,0.502,0.224,3663
2,0,5,1,2,0.602,0.694,0.116,8362
1,0,5,1,2,0.317,0.650,0.233,1977
1,0,3,1,3,0.218,0.863,0.294,506
2,0,0,0,1,0.604,0.750,0.148,4660
3,0,1,1,1,0.763,0.645,0.164,6830
3,0,4,1,2,0.710,0.758,0.197,4576
4,0,2,1,2,0.533,0.702,0.110,4748
4,0,5,1,1,0.345,0.525,0.171,5698
3,0,5,1,1,0.764,0.588,0.169,7350
4,0,4,1,1,0.281,0.556,0.116,5323
2,0,5,1,1,0.264,0.495,0.231,2210
1,0,0,0,1,0.283,0.311,0.240,3243
3,0,1,1,1,0.763,0.636,0.282,4086
2,0,3,1,2,0.550,0.870,0.201,3855
1,0,2,1,2,0.169,0.686,0.122,1263
3,0,0,0,1,0.580,0.570,0.090,7333
2,0,0,0,1,0.458,0.587,0.117,6304
3,0,5,1,1,0.838,0.543,0.174,3846
3,0,4,1,2,0.815,0.691,0.222,3784
3,0,1,1,1,0.637,0.555,0.160,4634
2,0,5,1,1,0.649,0.468,0.175,7736
1,0,2,1,1,0.200,0.590,0.160,1562
1,0,6,0,3,0.224,0.731,0.290,2169
4,0,6,0,1,0.554,0.664,0.268,7965
4,0,6,0,1,0.543,0.543,0.228,8555
4,0,1,1,1,0.319,0.494,0.236,5259
2,0,4,1,1,0.459,0.444,0.295,4433
3,0,4,1,1,0.750,0.651,0.159,4592
2,0,1,1,1,0.489,0.318,0.358,5585
4,0,6,0,2,0.607,0.863,0.078,5423
2,0,4,1,1,0.655,0.717,0.173,6770
1,0,2,1,1,0.565,0.618,0.237,5847
2,0,6,0,1,0.725,0.655,0.155,4966
3,0,5,1,2,0.650,0.898,0.124,3544
1,0,5,1,1,0.161,0.538,0.127,1421
4,0,2,1,1,0.408,0.722,0.069,4205
1,0,6,0,2,0.514,0.756,0.111,7836
2,0,4,1,1,0.398,0.466,0.290,5409
1,1,1,0,1,0.280,0.508,0.229,3129
2,0,5,1,1,0.564,0.523,0.137,7639
2,0,3,1,1,0.564,0.797,0.138,6169
2,0,6,0,2,0.503,0.885,0.193,3372
3,0,1,1,1,0.782,0.447,0.195,6227
1,0,2,1,1,0.293,0.421,0.121,2133
4,0,5,1,1,0.368,0.569,0.148,3910
3,0,0,0,2,0.697,0.815,0.064,5810
4,0,0,0,1,0.522,0.640,0.279,6639
3,0,4,1,1,0.806,0.568,0.119,5905
3,0,4,1,1,0.753,0.660,0.129,7261
1,0,6,0,1,0.329,0.595,0.221,2132
1,0,0,0,1,0.370,0.693,0.192,2294
4,0,6,0,1,0.299,0.613,0.096,3614
3,0,3,1,1,0.718,0.678,0.141,7580
4,0,4,1,2,0.366,0.582,0.157,5986
2,0,6,0,1,0.266,0.394,0.210,2496
1,0,6,0,1,0.399,0.188,0.507,1635
3,0,0,0,1,0.769,0.653,0.290,5464
4,0,2,1,1,0.544,0.642,0.095,7466
2,0,3,1,1,0.637,0.698,0.123,7424
2,0,1,1,2,0.721,0.588,0.208,6664
2,0,3,1,2,0.620,0.835,0.312,3872
3,0,5,1,2,0.643,0.727,0.140,4727
2,0,6,0,2,0.377,0.490,0.130,4220
4,0,4,1,2,0.330,0.668,0.132,4128
1,0,6,0,1,0.288,0.350,0.226,4118
2,0,2,1,2,0.660,0.741,0.207,4492
1,0,5,1,1,0.189,0.506,0.109,1746
3,0,5,1,1,0.848,0.580,0.133,3387
3,0,3,1,1,0.775,0.403,0.183,4656
2,0,4,1,1,0.506,0.552,0.314,6572
1,0,1,1,1,0.262,0.551,0.341,1872
2,0,3,1,2,0.463,0.569,0.168,4367
2,0,5,1,1,0.443,0.408,0.155,6398
4,0,1,1,1,0.395,0.759,0.057,4035
2,0,6,0,1,0.600,0.456,0.084,8294
4,0,5,1,1,0.615,0.628,0.106,8156
4,0,0,0,1,0.421,0.659,0.128,6852
1,0,0,0,1,0.256,0.483,0.351,1796
4,0,5,1,2,0.403,0.623,0.272,4046
3,0,6,0,2,0.680,0.850,0.376,1115
4,0,0,0,1,0.527,0.583,0.135,6889
2,0,2,1,2,0.615,0.766,0.118,6073
2,0,0,0,2,0.563,0.867,0.153,4553
2,0,4,1,1,0.459,0.407,0.325,4189
3,0,1,1,2,0.711,0.683,0.181,6569
3,0,3,1,1,0.733,0.708,0.172,4507
3,0,3,1,1,0.698,0.360,0.272,7335
2,0,1,1,2,0.568,0.778,0.175,5099
4,0,0,0,1,0.238,0.586,0.170,2431
4,0,5,1,1,0.355,0.522,0.266,5847
1,0,5,1,2,0.425,0.741,0.343,3456
3,0,0,0,1,0.711,0.770,0.249,3873
2,0,6,0,1,0.656,0.730,0.230,4758
3,0,2,1,1,0.818,0.506,0.114,6786
2,0,1,1,1,0.635,0.495,0.305,5020
3,0,5,1,2,0.666,0.844,0.209,5870
4,0,4,1,1,0.266,0.580,0.240,3322
2,0,2,1,1,0.413,0.454,0.249,5633
4,0,5,1,1,0.282,0.643,0.131,5611
3,0,6,0,2,0.693,0.733,0.206,6299
1,0,5,1,2,0.408,0.738,0.238,3487
1,1,1,0,2,0.303,0.605,0.308,1107
2,0,0,0,2,0.426,0.676,0.172,6041
2,0,6,0,1,0.495,0.503,0.191,7460
1,0,0,0,2,0.266,0.688,0.176,2947
3,0,2,1,1,0.772,0.541,0.200,4590
4,0,2,1,1,0.281,0.567,0.174,5686
4,0,2,1,2,0.386,0.595,0.062,3750
4,0,3,1,1,0.378,0.719,0.082,4186
3,0,5,1,2,0.469,0.590,0.164,4760
3,0,4,1,1,0.697,0.434,0.185,5515
1,0,1,1,1,0.097,0.492,0.158,1416
1,0,4,1,1,0.190,0.498,0.220,3292
4,0,1,1,3,0.440,0.880,0.358,22
3,0,1,1,1,0.747,0.651,0.216,4458
3,0,6,0,1,0.862,0.492,0.164,4840
1,0,4,1,2,0.254,0.653,0.350,2114
4,0,1,1,2,0.521,0.649,0.091,6778
4,0,4,1,1,0.617,0.699,0.173,4839
2,0,5,1,1,0.537,0.720,0.125,4917
4,0,3,1,1,0.456,0.693,0.101,7461
3,0,6,0,1,0.660,0.754,0.154,5345
4,0,0,0,2,0.348,0.823,0.124,4649
4,0,6,0,2,0.530,0.720,0.236,7852
3,0,4,1,1,0.756,0.620,0.156,7286
1,0,0,0,2,0.280,0.516,0.253,2689
2,0,4,1,1,0.603,0.567,0.157,7494
1,0,4,1,1,0.558,0.580,0.150,6192
3,0,0,0,1,0.680,0.513,0.095,5305
1,0,6,0,1,0.180,0.458,0.187,2493
4,0,3,1,1,0.438,0.485,0.324,5729
4,0,5,1,1,0.564,0.648,0.206,5202
3,0,5,1,2,0.709,0.758,0.225,4040
1,0,2,1,2,0.317,0.656,0.184,2056
3,0,0,0,1,0.707,0.562,0.305,4334
4,0,3,1,2,0.318,0.664,0.061,3740
3,0,6,0,1,0.793,0.613,0.257,6824
3,0,0,0,1,0.701,0.530,0.123,6544
1,0,6,0,1,0.347,0.535,0.191,4318
1,0,1,1,2,0.218,0.911,0.111,2432
4,0,0,0,1,0.541,0.728,0.063,5511
3,0,6,0,1,0.765,0.601,0.161,5687
3,0,0,0,2,0.668,0.763,0.094,7410
1,0,5,1,2,0.262,0.610,0.203,1944
2,0,4,1,1,0.708,0.678,0.200,4677
3,0,1,1,1,0.721,0.545,0.136,6883
4,0,0,0,1,0.464,0.510,0.166,6824
3,0,4,1,1,0.712,0.655,0.233,3805
1,0,3,1,1,0.318,0.423,0.252,2115
3,0,1,1,1,0.742,0.694,0.139,6966
1,0,6,0,1,0.410,0.616,0.220,2485
4,0,0,0,2,0.634,0.845,0.050,5010
2,0,0,0,2,0.699,0.667,0.102,4744
1,0,4,1,1,0.195,0.688,0.114,431
3,0,2,1,1,0.649,0.674,0.073,7006
3,0,2,1,1,0.727,0.687,0.169,6784
3,0,0,0,1,0.823,0.574,0.126,4672
1,0,2,1,1,0.309,0.647,0.188,3598
3,0,1,1,1,0.743,0.757,0.091,3840
2,0,1,1,1,0.578,0.788,0.127,3958
4,0,6,0,1,0.389,0.645,0.058,6536
2,0,0,0,2,0.438,0.881,0.221,4996
4,0,2,1,1,0.411,0.666,0.221,5557
2,0,3,1,1,0.627,0.472,0.168,5180
1,0,0,0,1,0.246,0.515,0.133,1787
3,0,1,1,2,0.683,0.658,0.108,4708
4,0,4,1,1,0.408,0.702,0.137,3974
4,0,6,0,1,0.484,0.573,0.118,8090
2,0,0,0,1,0.690,0.697,0.215,6591
1,0,5,1,2,0.411,0.407,0.415,4569
4,0,0,0,1,0.529,0.467,0.223,7907
1,0,0,0,2,0.363,0.696,0.249,801
2,0,2,1,2,0.506,0.666,0.158,3204
3,0,4,1,1,0.779,0.583,0.178,4390
2,0,4,1,2,0.285,0.806,0.244,1865
1,0,4,1,2,0.383,0.803,0.181,4097
2,0,2,1,1,0.723,0.685,0.295,5743
3,0,2,1,3,0.540,0.887,0.344,2710
3,0,6,0,1,0.738,0.445,0.115,5119
2,0,6,0,2,0.315,0.654,0.197,2252
4,0,5,1,1,0.291,0.696,0.083,3620
2,0,1,1,2,0.549,0.730,0.183,4401
1,0,1,1,1,0.243,0.506,0.229,3333
3,0,2,1,1,0.777,0.650,0.131,4541
1,0,4,1,1,0.198,0.318,0.226,1685
1,0,3,1,2,0.108,0.415,0.185,2368
4,0,2,1,2,0.567,0.809,0.143,4563
2,0,5,1,2,0.654,0.755,0.238,4127
2,0,6,0,1,0.438,0.254,0.275,6857
4,0,1,1,1,0.277,0.638,0.173,3403
2,0,2,1,1,0.632,0.729,0.327,4400
3,0,3,1,1,0.747,0.632,0.146,4342
4,0,4,1,2,0.342,0.576,0.305,3053
3,0,6,0,3,0.596,0.865,0.213,4459
1,0,6,0,1,0.291,0.396,0.422,2732
1,0,4,1,1,0.165,0.470,0.301,1406
4,0,5,1,1,0.362,0.541,0.215,5992
3,0,0,0,1,0.746,0.718,0.167,6031
2,0,6,0,1,0.583,0.549,0.187,8120
1,0,4,1,2,0.296,0.697,0.250,1807
1,0,6,0,1,0.266,0.441,0.407,1749
1,0,2,1,2,0.373,0.716,0.349,2935
3,0,5,1,1,0.834,0.489,0.165,5463
4,0,1,1,1,0.488,0.568,0.081,7058
1,0,0,0,1,0.333,0.474,0.208,2471
2,0,0,0,2,0.582,0.811,0.192,4191
1,0,2,1,1,0.343,0.836,0.124,4339
3,0,6,0,1,0.733,0.609,0.168,5336
1,0,2,1,1,0.221,0.538,0.362,1530
2,0,2,1,1,0.303,0.314,0.227,2425
1,0,2,1,1,0.359,0.396,0.193,4363
3,0,2,1,1,0.713,0.704,0.165,7216
4,0,2,1,1,0.468,0.558,0.182,7534
4,0,4,1,1,0.313,0.525,0.220,3727
1,0,3,1,2,0.292,0.742,0.208,1650
2,1,1,0,1,0.664,0.562,0.285,6370
